ICAO;Country
BI;Iceland
EB;Belgium
ED;Germany (civil)
EE;Estonia
EF;Finland
EG;United Kingdom
EH;Netherlands
EI;Ireland
EK;Denmark
EL;Luxembourg
EN;Norway
EP;Poland
ES;Sweden
ET;Germany (military)
EV;Latvia
EY;Lithuania
LA;Albania
LB;Bulgaria
LD;Croatia
LE;Spain
LF;France
LG;Greece
LH;Hungary
LI;Italy
LJ;Slovenia
LK;Czech Republic
LM;Malta
LN;Monaco
LO;Austria
LP;Portugal
LQ;Bosnia and Herzegovina
LR;Romania
LS;Switzerland, Liechtenstein
LU;Moldova
LW;North Macedonia
LX;Gibraltar
LY;Serbia, Montenegro
LZ;Slovakia
