origin,destination,year(firstseen),month(firstseen),avg_time_difference
EHAM,LEBL,2022,9,6386.27304964539
EHAM,LEBL,2022,4,6437.239130434783
EHAM,LEBL,2022,11,6402.5179487179485
EHAM,LEBL,2019,6,6803.103225806452
EHAM,LEBL,2019,4,6625.145896656535
EHAM,LEBL,2019,3,6283.140350877193
EHAM,LEBL,2021,3,6249.5
EHAM,LEBL,2021,1,5945.118644067797
EHAM,LEBL,2022,5,6427.062937062937
EHAM,LEBL,2020,1,6437.231884057971
EHAM,LEBL,2019,11,6286.576642335766
EHAM,LEBL,2022,2,6312.802631578948
EHAM,LEBL,2022,8,6402.763440860215
EHAM,LEBL,2022,7,6338.735849056604
EHAM,LEBL,2020,10,6155.1325301204815
EHAM,LEBL,2020,7,6382.282258064516
EHAM,LEBL,2020,6,6268.95
EHAM,LEBL,2019,8,6553.086021505376
EHAM,LEBL,2022,10,6559.872180451128
EHAM,LEBL,2021,7,6422.0125
EHAM,LEBL,2019,10,6581.970588235294
EHAM,LEBL,2019,12,6481.842767295598
EHAM,LEBL,2021,11,6244.234972677596
EHAM,LEBL,2022,3,6638.639423076923
EHAM,LEBL,2022,1,6300.904040404041
EHAM,LEBL,2019,2,6251.12213740458
EHAM,LEBL,2019,5,6387.329268292683
EHAM,LEBL,2019,9,6561.375690607735
EHAM,LEBL,2021,12,6264.014423076923
EHAM,LEBL,2021,10,6309.331797235023
EHAM,LEBL,2021,5,6493.27
EHAM,LEBL,2020,2,6298.30808080808
EHAM,LEBL,2021,4,6390.329113924051
EHAM,LEBL,2019,1,6350.5
EHAM,LEBL,2020,3,6350.73717948718
EHAM,LEBL,2020,11,6235.15
EHAM,LEBL,2020,8,6493.770491803279
EHAM,LEBL,2022,6,6646.345724907063
EHAM,LEBL,2021,2,6591.9
EHAM,LEBL,2019,7,6429.339393939394
EHAM,LEBL,2021,8,6347.628252788104
EHAM,LEBL,2021,9,6427.162895927602
EHAM,LEBL,2021,6,6599.883116883117
EHAM,LEBL,2020,9,6181.375886524823
EHAM,LEBL,2020,12,6067.26
EHAM,LEBL,2020,5,6464.333333333333
EHAM,LEBL,2020,4,6450.5
